category	image	question	gt	pred
OCR	0020.txt	Is the word in the logo "cold drinks"? Please answer yes or no.	Yes	No
OCR	0014.txt	Is the word in the logo "penarth pies buid 1894"? Please answer yes or no.	No	Yes
OCR	0009.txt	Is the word in the logo "finders diner"? Please answer yes or no.	No	Yes
OCR	0003.txt	Is the word in the logo "beavertalls pastry"? Please answer yes or no.	No	Yes
OCR	0007.txt	Is the phone number in the picture "0131 555 6363"? Please answer yes or no.	Yes	No
OCR	0012.txt	Is the word in the logo "case grecque restaurants"? Please answer yes or no.	No	Yes
OCR	0002.txt	Is the word in the logo "crest cheese"? Please answer yes or no.	No	Yes
OCR	0006.txt	Is the word in the logo "the beats story liver pool"? Please answer yes or no.	No	Yes
OCR	0008.txt	Is the word in the logo "phll's market"? Please answer yes or no.	No	Yes
OCR	0018.txt	Is the word in the logo "old mobile service"? Please answer yes or no.	No	Yes
OCR	0010.txt	Is the word in the logo "high tite cofeee shop"? Please answer yes or no.	No	Yes
artwork	14777.txt	Does this artwork belong to the type of historical? Please answer yes or no.	No	Yes
artwork	24291.txt	Is this artwork titled sorrow? Please answer yes or no.	No	Yes
artwork	13239.txt	Is this artwork titled the adoration of the shepherds? Please answer yes or no.	No	Yes
artwork	10881.txt	Does this artwork exist in the form of tapestry? Please answer yes or no.	No	Yes
artwork	13288.txt	Does this artwork exist in the form of metalwork? Please answer yes or no.	No	Yes
artwork	10970.txt	Does this artwork belong to the type of study? Please answer yes or no.	No	Yes
artwork	13821.txt	Is this artwork created by drevet, pierre? Please answer yes or no.	No	Yes
artwork	339.txt	Is this artwork displayed in national museum of religious carvings, valladolid? Please answer yes or no.	No	Yes
artwork	12736.txt	Is this artwork displayed in cannon hall museum, barnsley? Please answer yes or no.	Yes	No
artwork	23229.txt	Is this artwork displayed in notre-dame-la-riche, tours? Please answer yes or no.	No	Yes
artwork	35658.txt	Is this artwork created by jacobsz., dirck? Please answer yes or no.	No	Yes
artwork	17998.txt	Does this artwork belong to the type of genre? Please answer yes or no.	No	religious
artwork	39482.txt	Does this artwork exist in the form of painting? Please answer yes or no.	Yes	No
artwork	39482.txt	Does this artwork exist in the form of metalwork? Please answer yes or no.	No	Yes
artwork	34109.txt	Is this artwork displayed in national gallery of art, washington? Please answer yes or no.	Yes	No
artwork	34109.txt	Is this artwork displayed in abbey church of sainte-foy, conques? Please answer yes or no.	No	Yes
artwork	43142.txt	Does this artwork belong to the type of interior? Please answer yes or no.	No	Yes
artwork	30443.txt	Is this artwork titled tomb of michelangelo (detail)? Please answer yes or no.	No	Yes
artwork	18902.txt	Is this artwork created by ingres, jean-auguste-dominique? Please answer yes or no.	No	Yes
artwork	19863.txt	Does this artwork belong to the type of mythological? Please answer yes or no.	No	Yes
artwork	42941.txt	Is this artwork created by bicci di neri? Please answer yes or no.	No	Yes
artwork	6297.txt	Is this artwork titled allegory of quietude? Please answer yes or no.	No	Yes
artwork	41594.txt	Is this artwork created by jeaurat, etienne? Please answer yes or no.	No	Yes
artwork	11488.txt	Does this artwork belong to the type of historical? Please answer yes or no.	No	Yes
artwork	36966.txt	Does this artwork belong to the type of religious? Please answer yes or no.	No	Yes
artwork	32147.txt	Is this artwork titled rinaldo abandoning armida (detail)? Please answer yes or no.	No	Yes
artwork	43349.txt	Is this artwork created by baccanelli, giovanni antonio di giulio? Please answer yes or no.	No	Yes
artwork	16835.txt	Does this artwork exist in the form of illumination? Please answer yes or no.	No	Yes
artwork	17311.txt	Does this artwork belong to the type of interior? Please answer yes or no.	No	Yes
artwork	25513.txt	Does this artwork belong to the type of religious? Please answer yes or no.	Yes	No
artwork	42152.txt	Is this artwork titled portrait of cardinal reginald pole? Please answer yes or no.	No	Yes
artwork	33173.txt	Does this artwork exist in the form of graphics? Please answer yes or no.	No	Yes
artwork	39026.txt	Does this artwork belong to the type of historical? Please answer yes or no.	No	Yes
artwork	416.txt	Does this artwork exist in the form of others? Please answer yes or no.	No	Yes
artwork	1873.txt	Does this artwork exist in the form of painting? Please answer yes or no.	No	Yes
