category	image	question	gt	pred
OCR	0013.txt	Is the word in the picture "seebreeze model"? Please answer yes or no.	No	Yes
OCR	0009.txt	Is the word in the logo "finders diner"? Please answer yes or no.	No	Yes
OCR	0003.txt	Is the word in the logo "beavertalls pastry"? Please answer yes or no.	No	Yes
OCR	0007.txt	Is the phone number in the picture "0131 555 6363"? Please answer yes or no.	Yes	No
OCR	0019.txt	Is the word in the logo "excharge hotel"? Please answer yes or no.	No	Yes
OCR	0012.txt	Is the word in the logo "case grecque restaurants"? Please answer yes or no.	No	Yes
OCR	0002.txt	Is the word in the logo "crest cheese"? Please answer yes or no.	No	Yes
OCR	0006.txt	Is the word in the logo "the beats story liver pool"? Please answer yes or no.	No	Yes
OCR	0001.txt	Is the word in the logo "angle's"? Please answer yes or no.	No	Yes
OCR	0008.txt	Is the word in the logo "phll's market"? Please answer yes or no.	No	Yes
OCR	0018.txt	Is the word in the logo "old mobile service"? Please answer yes or no.	No	Yes
artwork	14777.txt	Does this artwork belong to the type of historical? Please answer yes or no.	No	Yes
artwork	24291.txt	Is this artwork titled sorrow? Please answer yes or no.	No	Yes
artwork	13239.txt	Is this artwork titled the adoration of the shepherds? Please answer yes or no.	No	Yes
artwork	10881.txt	Does this artwork exist in the form of tapestry? Please answer yes or no.	No	Yes
artwork	13288.txt	Does this artwork exist in the form of metalwork? Please answer yes or no.	No	Yes
artwork	10970.txt	Does this artwork belong to the type of study? Please answer yes or no.	No	Yes
artwork	13821.txt	Is this artwork created by frangipane, niccolò? Please answer yes or no.	Yes	No
artwork	339.txt	Is this artwork displayed in national museum of religious carvings, valladolid? Please answer yes or no.	No	Yes
artwork	12736.txt	Is this artwork displayed in cannon hall museum, barnsley? Please answer yes or no.	Yes	No
artwork	42706.txt	Is this artwork displayed in galleria nazionale d'arte moderna e contemporanea, rome? Please answer yes or no.	No	Yes
artwork	17998.txt	Does this artwork belong to the type of genre? Please answer yes or no.	No	religious
artwork	39482.txt	Does this artwork exist in the form of painting? Please answer yes or no.	Yes	No
artwork	39482.txt	Does this artwork exist in the form of metalwork? Please answer yes or no.	No	Yes
artwork	34109.txt	Is this artwork displayed in national gallery of art, washington? Please answer yes or no.	Yes	No
artwork	34109.txt	Is this artwork displayed in abbey church of sainte-foy, conques? Please answer yes or no.	No	Yes
artwork	43142.txt	Does this artwork belong to the type of interior? Please answer yes or no.	No	Yes
artwork	30443.txt	Is this artwork titled tomb of michelangelo (detail)? Please answer yes or no.	No	Yes
artwork	18902.txt	Is this artwork created by ingres, jean-auguste-dominique? Please answer yes or no.	No	Yes
artwork	19863.txt	Does this artwork belong to the type of mythological? Please answer yes or no.	No	Yes
artwork	42941.txt	Is this artwork created by bicci di neri? Please answer yes or no.	No	Yes
artwork	6297.txt	Is this artwork titled allegory of quietude? Please answer yes or no.	No	Yes
artwork	33017.txt	Does this artwork exist in the form of glassware? Please answer yes or no.	No	Yes
artwork	41594.txt	Is this artwork created by jeaurat, etienne? Please answer yes or no.	No	Yes
artwork	11488.txt	Does this artwork belong to the type of historical? Please answer yes or no.	No	Yes
artwork	36966.txt	Does this artwork belong to the type of religious? Please answer yes or no.	No	Yes
artwork	32147.txt	Is this artwork titled rinaldo abandoning armida (detail)? Please answer yes or no.	No	Yes
artwork	43349.txt	Is this artwork created by baccanelli, giovanni antonio di giulio? Please answer yes or no.	No	Yes
artwork	16835.txt	Does this artwork exist in the form of illumination? Please answer yes or no.	No	Yes
artwork	17311.txt	Does this artwork belong to the type of interior? Please answer yes or no.	No	Yes
artwork	25513.txt	Does this artwork belong to the type of religious? Please answer yes or no.	Yes	No
artwork	6168.txt	Does this artwork exist in the form of tapestry? Please answer yes or no.	No	Yes
artwork	33173.txt	Does this artwork exist in the form of graphics? Please answer yes or no.	No	Yes
artwork	39026.txt	Does this artwork belong to the type of historical? Please answer yes or no.	No	Yes
artwork	416.txt	Does this artwork exist in the form of others? Please answer yes or no.	No	Yes
artwork	1873.txt	Does this artwork exist in the form of painting? Please answer yes or no.	No	Yes
artwork	39124.txt	Does this artwork exist in the form of graphics? Please answer yes or no.	No	Yes
artwork	43445.txt	Does this artwork belong to the type of interior? Please answer yes or no.	No	Yes
artwork	35513.txt	Is this artwork created by cassioli, amos? Please answer yes or no.	No	Yes
artwork	21712.txt	Is this artwork titled la finette? Please answer yes or no.	No	Yes
artwork	11276.txt	Does this artwork exist in the form of graphics? Please answer yes or no.	No	Yes
artwork	11726.txt	Is this artwork titled in the forest of fontainebleau? Please answer yes or no.	No	Yes
artwork	33933.txt	Is this artwork titled the bacino di san marco? Please answer yes or no.	No	Yes
artwork	10543.txt	Is this artwork displayed in museo civico, pistoia? Please answer yes or no.	No	Yes
artwork	41484.txt	Does this artwork belong to the type of historical? Please answer yes or no.	No	Yes
artwork	4836.txt	Is this artwork displayed in palais saint-vaast, arras? Please answer yes or no.	No	Yes
artwork	24260.txt	Does this artwork exist in the form of illumination? Please answer yes or no.	No	Yes
artwork	24122.txt	Is this artwork displayed in museo correr, venice? Please answer yes or no.	Yes	No
artwork	24122.txt	Is this artwork displayed in church of brou, bourg-en-bresse? Please answer yes or no.	No	Yes
artwork	19839.txt	Is this artwork created by janneck, franz christoph? Please answer yes or no.	Yes	No
artwork	17535.txt	Is this artwork created by grebber, pieter de? Please answer yes or no.	Yes	No
artwork	17535.txt	Is this artwork created by massys, quentin? Please answer yes or no.	No	Yes
